==============================================================================
FUNCTIONAL REDUNDANCY -- POST-SUBMISSION RE-MEASUREMENT
==============================================================================
source   : experiments/results_global_tau_range.json and others
recorded : see per-block source
machine  :
           Intel Core i7-11850H (Tiger Lake H, 8C/16T)
           L1d 48 KiB/core  L2 1.25 MiB/core  L3 24 MiB shared
           64 GiB RAM, Windows 11, onnxruntime 1.28.0 CPUExecutionProvider
           Python 3.12.8, numpy 2.4.6, torch 2.13.0+cpu, transformers 4.57.6
protocol :
           Share of FFN channels the cosine criterion endorses merging at a
           given tau, with the contribution gate at eps_thr = 0.5.
           One global tau applied to every layer: the removal share is the
           output, not an input.
           These runs apply the attention/padding mask that the runs in
           redundancy_reported.log omit, and they cover every layer rather
           than a sample. They were measured after the article was submitted
           and are not the figures it quotes; both are published so the
           difference is visible rather than implied.
==============================================================================


--- WHISPER-MEDIUM ENCODER (24 layers, 4096 FFN channels) ---
source: experiments/results_global_tau_range.json   recorded: 2026-08-31 22:16

  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
    L16      0.00%      0.00%      0.07%      0.24%      0.56%      1.03%
    L17      0.00%      0.00%      0.00%      0.07%      0.37%      0.85%
    L18      0.00%      0.00%      0.00%      0.07%      0.24%      0.34%
    L19      0.00%      0.00%      0.00%      0.12%      0.32%      0.49%
    L20      0.00%      0.00%      0.17%      0.29%      0.66%      1.20%
    L21      0.00%      0.02%      0.27%      0.66%      1.39%      2.03%
    L22      0.00%      0.10%      0.39%      0.83%      1.78%      3.10%
    L23      0.00%      0.00%      0.07%      0.29%      0.81%      1.86%
 GLOBAL     14.75%     17.00%     18.62%     20.69%     23.42%     26.45%


--- open_llama_3b, SIGNED COSINE (26 layers, 8640 channels) ---
source: experiments/results_llama_global_tau.json   recorded: 2026-09-01 00:45

  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
     L0      0.00%      0.27%      0.52%      1.19%      2.05%      3.30%
     L1      0.01%      0.03%      0.17%      0.37%      0.62%      1.26%
     L2      0.00%      0.00%      0.05%      0.13%      0.36%      0.66%
     L3      0.00%      0.00%      0.00%      0.06%      0.16%      0.28%
     L4      0.00%      0.00%      0.02%      0.02%      0.06%      0.17%
     L5      0.00%      0.00%      0.00%      0.00%      0.00%      0.01%
     L6      0.00%      0.01%      0.02%      0.02%      0.03%      0.06%
     L7      0.00%      0.02%      0.02%      0.02%      0.02%      0.05%
     L8      0.00%      0.00%      0.00%      0.00%      0.00%      0.01%
     L9      0.00%      0.00%      0.00%      0.00%      0.00%      0.00%
    L10      0.00%      0.01%      0.01%      0.01%      0.01%      0.02%
    L11      0.00%      0.00%      0.00%      0.00%      0.02%      0.03%
    L12      0.00%      0.00%      0.00%      0.01%      0.01%      0.02%
    L13      0.00%      0.00%      0.00%      0.00%      0.01%      0.03%
    L14      0.00%      0.00%      0.00%      0.01%      0.02%      0.06%
    L15      0.00%      0.00%      0.00%      0.02%      0.05%      0.08%
    L16      0.00%      0.00%      0.01%      0.03%      0.09%      0.12%
    L17      0.00%      0.00%      0.00%      0.02%      0.13%      0.17%
    L18      0.00%      0.00%      0.00%      0.05%      0.07%      0.15%
    L19      0.00%      0.00%      0.03%      0.10%      0.14%      0.16%
    L20      0.00%      0.01%      0.02%      0.06%      0.07%      0.13%
    L21      0.00%      0.00%      0.00%      0.01%      0.01%      0.02%
    L22      0.00%      0.00%      0.00%      0.03%      0.07%      0.10%
    L23      0.00%      0.00%      0.03%      0.09%      0.13%      0.21%
    L24      0.00%      0.00%      0.13%      0.35%      0.62%      0.83%
    L25      0.00%      0.03%      0.16%      0.42%      0.88%      1.35%
 GLOBAL      0.00%      0.02%      0.05%      0.12%      0.22%      0.36%


--- open_llama_3b, ABSOLUTE COSINE (anti-collinear pairs accepted) ---
source: experiments/results_llama_global_tau_abs.json   recorded: 2026-09-01 02:07

  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
     L0      0.00%      0.34%      0.76%      1.76%      2.95%      4.51%
     L1      0.01%      0.07%      0.22%      0.52%      0.83%      1.75%
     L2      0.00%      0.00%      0.07%      0.16%      0.45%      0.83%
     L3      0.00%      0.00%      0.02%      0.08%      0.25%      0.46%
     L4      0.00%      0.00%      0.02%      0.05%      0.13%      0.37%
     L5      0.00%      0.00%      0.00%      0.00%      0.01%      0.09%
     L6      0.00%      0.02%      0.03%      0.03%      0.06%      0.10%
     L7      0.00%      0.03%      0.03%      0.03%      0.05%      0.07%
     L8      0.00%      0.00%      0.00%      0.00%      0.01%      0.03%
     L9      0.00%      0.00%      0.00%      0.00%      0.00%      0.00%
    L10      0.00%      0.01%      0.02%      0.02%      0.02%      0.05%
    L11      0.00%      0.00%      0.00%      0.01%      0.03%      0.05%
    L12      0.00%      0.00%      0.00%      0.01%      0.03%      0.03%
    L13      0.00%      0.00%      0.00%      0.00%      0.01%      0.03%
    L14      0.00%      0.00%      0.00%      0.01%      0.03%      0.08%
    L15      0.00%      0.00%      0.00%      0.03%      0.05%      0.08%
    L16      0.00%      0.00%      0.02%      0.05%      0.09%      0.13%
    L17      0.00%      0.00%      0.02%      0.06%      0.16%      0.20%
    L18      0.00%      0.00%      0.02%      0.03%      0.08%      0.20%
    L19      0.00%      0.00%      0.03%      0.12%      0.19%      0.20%
    L20      0.00%      0.02%      0.02%      0.07%      0.09%      0.15%
    L21      0.00%      0.00%      0.00%      0.01%      0.01%      0.07%
    L22      0.00%      0.00%      0.01%      0.03%      0.10%      0.15%
    L23      0.00%      0.00%      0.05%      0.09%      0.14%      0.25%
    L24      0.00%      0.00%      0.19%      0.42%      0.66%      1.08%
    L25      0.00%      0.03%      0.19%      0.45%      0.96%      1.59%
 GLOBAL      0.00%      0.02%      0.07%      0.16%      0.29%      0.48%


--- mBERT (12 layers, 3072 channels) ---
source: experiments/results_mbert_padding_tau.json   recorded: 2026-08-31 23:09

[niqobli]
  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
     L0      0.00%      0.26%      0.81%      1.40%      2.70%      3.42%
     L1      0.03%      0.26%      0.85%      1.50%      3.42%      7.75%
     L2      0.00%      0.03%      0.46%      1.11%      2.70%      6.18%
     L3      0.00%      0.29%      1.33%      2.80%      5.63%      5.76%
     L4      0.00%      0.42%      1.46%      3.81%      9.24%     17.22%
     L5      0.00%      0.13%      0.85%      1.73%      3.68%      8.33%
     L6      0.00%      0.00%      0.39%      2.08%      6.67%     13.31%
     L7      0.00%      0.03%      0.23%      0.94%      5.53%      7.55%
     L8      0.00%      0.07%      0.36%      3.16%     11.23%     23.80%
     L9      0.07%      0.16%      0.91%     12.53%     33.89%     50.78%
    L10      0.03%      0.07%      0.65%     15.85%     43.62%     55.47%
    L11      0.07%      0.52%     12.37%     27.41%     37.60%     44.08%
 GLOBAL      0.02%      0.19%      1.72%      6.19%     13.83%     20.30%

[niqobsiz]
  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
     L0      0.62%      4.43%     10.45%     16.54%     22.33%     28.19%
     L1      0.10%      2.31%     10.09%     17.15%     24.90%     31.90%
     L2      0.07%      1.30%      8.37%     14.97%     24.51%     33.85%
     L3      0.00%      1.79%      6.18%     17.61%     30.99%     41.96%
     L4      0.07%      2.21%     15.17%     32.10%     34.90%     46.78%
     L5      0.00%      0.46%      3.78%      7.00%     16.41%     28.48%
     L6      0.00%      0.23%      1.56%      6.05%     15.33%     26.56%
     L7      0.00%      0.10%      1.92%      3.42%     10.97%     21.06%
     L8      0.00%      0.13%      2.44%      9.83%     22.79%     23.21%
     L9      0.07%      0.16%      4.00%     18.10%     33.53%     36.78%
    L10      0.03%      0.03%      9.93%     26.99%     43.13%     53.42%
    L11      0.03%      0.75%     21.09%     39.65%     41.44%     49.25%
 GLOBAL      0.08%      1.16%      7.92%     17.45%     26.77%     35.12%

